Epoch: 104 | Train Loss: 0.7432273312107377 | Test Loss: 1.9989706657745026 | Train Accuracy: 0.2679630452362092 | Test Accuracy: 0.12736509797664788
Epoch: 105 | Train Loss: 0.7476915658816047 | Test Loss: 1.825593733525538 | Train Accuracy: 0.26944390570987825 | Test Accuracy: 0.14613880749259675
Epoch: 106 | Train Loss: 0.7440394393127897 | Test Loss: 1.9188920364275084 | Train Accuracy: 0.2711026299258937 | Test Accuracy: 0.12992448801850223
Epoch: 107 | Train Loss: 0.6942810082565183 | Test Loss: 1.9725573508294074 | Train Accuracy: 0.2864170213756354 | Test Accuracy: 0.12429817454828011
Epoch: 108 | Train Loss: 0.7023424029998158 | Test Loss: 2.1648516812167324 | Train Accuracy: 0.2741516156365042 | Test Accuracy: 0.1161467860360722
Epoch: 109 | Train Loss: 0.6990176636887633 | Test Loss: 1.8557085624107947 | Train Accuracy: 0.27739842721949454 | Test Accuracy: 0.14285031092035902
Epoch: 110 | Train Loss: 0.6662125176061755 | Test Loss: 1.8724721945249116 | Train Accuracy: 0.2907394378081612 | Test Accuracy: 0.13913617970851752
Epoch: 111 | Train Loss: 0.6697902779864229 | Test Loss: 1.9862823394628673 | Train Accuracy: 0.2861433843879596 | Test Accuracy: 0.13315243941250737
Epoch: 112 | Train Loss: 0.6775575665676076 | Test Loss: 1.9740056860577928 | Train Accuracy: 0.2856290432745996 | Test Accuracy: 0.13684252330235072
Epoch: 113 | Train Loss: 0.6853157165257827 | Test Loss: 2.1727625786603153 | Train Accuracy: 0.28365948504727817 | Test Accuracy: 0.1256397987951289
Epoch: 114 | Train Loss: 0.6742693704107533 | Test Loss: 1.9308269351393312 | Train Accuracy: 0.28093980204152025 | Test Accuracy: 0.1397615651507954
Epoch: 115 | Train Loss: 0.6647278255094653 | Test Loss: 2.1507168916555552 | Train Accuracy: 0.2855170186123122 | Test Accuracy: 0.1257712675647421
Epoch: 116 | Train Loss: 0.6424100781264512 | Test Loss: 1.842744250873943 | Train Accuracy: 0.2943952047954435 | Test Accuracy: 0.13903083775069688
Epoch: 117 | Train Loss: 0.6346010773078256 | Test Loss: 2.184150538601718 | Train Accuracy: 0.2929254017122414 | Test Accuracy: 0.11283457844139455
Epoch: 118 | Train Loss: 0.6316115736313488 | Test Loss: 1.8387112800891583 | Train Accuracy: 0.29745573420887406 | Test Accuracy: 0.14635523965398034
Epoch: 119 | Train Loss: 0.6629366602586664 | Test Loss: 1.894003159397251 | Train Accuracy: 0.2848960313460101 | Test Accuracy: 0.1404989710548422
Epoch: 120 | Train Loss: 0.5395088565090428 | Test Loss: 1.9248066865480864 | Train Accuracy: 0.3167577368085799 | Test Accuracy: 0.13351101747580937
Epoch: 121 | Train Loss: 0.5779766479264135 | Test Loss: 2.0222526290914513 | Train Accuracy: 0.3054837158516697 | Test Accuracy: 0.14076589604655465
Epoch: 122 | Train Loss: 0.6089389418130335 | Test Loss: 2.0167020087713725 | Train Accuracy: 0.2996490819622641 | Test Accuracy: 0.1407409089279699
Epoch: 123 | Train Loss: 0.5512481289713279 | Test Loss: 2.077777067383567 | Train Accuracy: 0.31671888057304465 | Test Accuracy: 0.13144674954506066
Epoch: 124 | Train Loss: 0.5312434162782587 | Test Loss: 2.0266716794653252 | Train Accuracy: 0.3164906827327998 | Test Accuracy: 0.13319922402337359
Epoch: 125 | Train Loss: 0.5559659354064775 | Test Loss: 2.124214096383734 | Train Accuracy: 0.3110122133208358 | Test Accuracy: 0.13167490310721344
Epoch: 126 | Train Loss: 0.559777709129064 | Test Loss: 1.9820744048108112 | Train Accuracy: 0.306024714494529 | Test Accuracy: 0.14408435942707482
Epoch: 127 | Train Loss: 0.5365810193445372 | Test Loss: 1.893108226440765 | Train Accuracy: 0.31589924544095993 | Test Accuracy: 0.1425782704091334
Epoch: 128 | Train Loss: 0.588559385874997 | Test Loss: 2.3747471557868707 | Train Accuracy: 0.3062740863989229 | Test Accuracy: 0.11356411174267203
Epoch: 129 | Train Loss: 0.5660924976286681 | Test Loss: 2.0439107680058743 | Train Accuracy: 0.3084992759901544 | Test Accuracy: 0.1289995014667511
Epoch: 130 | Train Loss: 0.5272335241670194 | Test Loss: 2.014354473941929 | Train Accuracy: 0.3210502166462981 | Test Accuracy: 0.1409557475247881
Epoch: 131 | Train Loss: 0.5002608305734136 | Test Loss: 2.0385500900037994 | Train Accuracy: 0.32666302035036293 | Test Accuracy: 0.1402726072695229
Epoch: 132 | Train Loss: 0.5032518956324329 | Test Loss: 2.18253422831441 | Train Accuracy: 0.3276610254593518 | Test Accuracy: 0.12895774738965454
Epoch: 133 | Train Loss: 0.4965759101121322 | Test Loss: 2.0345404691748565 | Train Accuracy: 0.327913958741271 | Test Accuracy: 0.13738688388532336
Epoch: 134 | Train Loss: 0.48649694122697995 | Test Loss: 2.0122586462523913 | Train Accuracy: 0.3274779601589493 | Test Accuracy: 0.13698717976336952
Epoch: 135 | Train Loss: 0.49069264369166415 | Test Loss: 2.0571065224134006 | Train Accuracy: 0.3272418901324272 | Test Accuracy: 0.14058798678464943
Epoch: 136 | Train Loss: 0.5094916451236476 | Test Loss: 2.0035165391125522 | Train Accuracy: 0.3242921404054631 | Test Accuracy: 0.14341969583388214
Epoch: 137 | Train Loss: 0.4997916597387065 | Test Loss: 2.1488562547243557 | Train Accuracy: 0.33485564962029457 | Test Accuracy: 0.12988015710488782
Epoch: 138 | Train Loss: 0.4566412662034449 | Test Loss: 2.0321333539354933 | Train Accuracy: 0.3346920249902684 | Test Accuracy: 0.1444919792996658
Epoch: 139 | Train Loss: 0.40957617047040357 | Test Loss: 1.9714250610424922 | Train Accuracy: 0.354282665349867 | Test Accuracy: 0.1523020170874648
Epoch: 140 | Train Loss: 0.38868674814053206 | Test Loss: 2.4324399730661415 | Train Accuracy: 0.3584011495113373 | Test Accuracy: 0.12695595859498768
Epoch: 141 | Train Loss: 0.4870067766827086 | Test Loss: 2.1240528180049014 | Train Accuracy: 0.33809064231489017 | Test Accuracy: 0.128623894487436
Epoch: 142 | Train Loss: 0.48443879511045373 | Test Loss: 2.1672922988514323 | Train Accuracy: 0.3224093797414199 | Test Accuracy: 0.13363824678318842
Epoch: 143 | Train Loss: 0.4735174878783848 | Test Loss: 2.3791511975801907 | Train Accuracy: 0.33655256956167845 | Test Accuracy: 0.1337494787115317
Epoch: 144 | Train Loss: 0.42828816742352815 | Test Loss: 2.0747805650417623 | Train Accuracy: 0.3405438674532849 | Test Accuracy: 0.139609973017986
Epoch: 145 | Train Loss: 0.4300168454647064 | Test Loss: 2.110761508836851 | Train Accuracy: 0.3449137411687685 | Test Accuracy: 0.14098759208406722
Epoch: 146 | Train Loss: 0.4294822214414244 | Test Loss: 2.171847088651343 | Train Accuracy: 0.3414280668872854 | Test Accuracy: 0.1357736085633655
Epoch: 147 | Train Loss: 0.4176297100341838 | Test Loss: 2.0454983501643924 | Train Accuracy: 0.35213012442640634 | Test Accuracy: 0.1477516198551262
Epoch: 148 | Train Loss: 0.34778949634536455 | Test Loss: 2.2924093112840755 | Train Accuracy: 0.3709064977972404 | Test Accuracy: 0.1327935931283039
Epoch: 149 | Train Loss: 0.42183447564425675 | Test Loss: 2.059142890867296 | Train Accuracy: 0.3494216260378775 | Test Accuracy: 0.14524662240848438
Epoch: 150 | Train Loss: 0.38935536356723827 | Test Loss: 2.097809698555496 | Train Accuracy: 0.35736678087193036 | Test Accuracy: 0.14605483224431237
Epoch: 151 | Train Loss: 0.4076345520822898 | Test Loss: 2.324186758680658 | Train Accuracy: 0.3511453670975955 | Test Accuracy: 0.1324585479285036
Epoch: 152 | Train Loss: 0.37262296093546826 | Test Loss: 2.2007679624871894 | Train Accuracy: 0.3660060675895732 | Test Accuracy: 0.14855176849024637
Epoch: 153 | Train Loss: 0.38741394893630693 | Test Loss: 2.261762274490608 | Train Accuracy: 0.36013467302140983 | Test Accuracy: 0.13194522711929385
Epoch: 154 | Train Loss: 0.41031571024137997 | Test Loss: 2.242188777242388 | Train Accuracy: 0.3491943191898906 | Test Accuracy: 0.12899119243189527
Epoch: 155 | Train Loss: 0.36373105029697006 | Test Loss: 2.2296170808456757 | Train Accuracy: 0.3688950483565745 | Test Accuracy: 0.1502347212735113
Epoch: 156 | Train Loss: 0.3355448370718438 | Test Loss: 2.3587774614711385 | Train Accuracy: 0.377414891253347 | Test Accuracy: 0.1379054666056738
Epoch: 157 | Train Loss: 0.35290577651365945 | Test Loss: 2.0579139452714186 | Train Accuracy: 0.3714332672888818 | Test Accuracy: 0.1513754781130906
Epoch: 158 | Train Loss: 0.3095838278532028 | Test Loss: 2.2051178701631318 | Train Accuracy: 0.3842274799295094 | Test Accuracy: 0.14418542851786037
Epoch: 159 | Train Loss: 0.32811201541968016 | Test Loss: 2.2477376683727726 | Train Accuracy: 0.38114909519967827 | Test Accuracy: 0.13863658028972017
Epoch: 160 | Train Loss: 0.3366854236177776 | Test Loss: 2.175503568334894 | Train Accuracy: 0.37172071927267575 | Test Accuracy: 0.14729216252709484
Epoch: 161 | Train Loss: 0.32625871216473373 | Test Loss: 2.5261309199280793 | Train Accuracy: 0.3832406471280948 | Test Accuracy: 0.1346950725867198
Epoch: 162 | Train Loss: 0.4484289970410907 | Test Loss: 2.3578709743835113 | Train Accuracy: 0.3445065811924312 | Test Accuracy: 0.13031579365769586
Epoch: 163 | Train Loss: 0.35550123064414313 | Test Loss: 2.285875195985312 | Train Accuracy: 0.37267882668453717 | Test Accuracy: 0.14408928769957888
Epoch: 164 | Train Loss: 0.3098126845839231 | Test Loss: 2.2913215579567376 | Train Accuracy: 0.3798549793984579 | Test Accuracy: 0.15305970510938666
Epoch: 165 | Train Loss: 0.30875942580725835 | Test Loss: 2.2396914932754015 | Train Accuracy: 0.38148752000668773 | Test Accuracy: 0.14824378621447218
Epoch: 166 | Train Loss: 0.30865631463087123 | Test Loss: 2.166667171886989 | Train Accuracy: 0.38685979013857635 | Test Accuracy: 0.1553829462154881
Epoch: 167 | Train Loss: 0.2945683101273101 | Test Loss: 2.1879446362401103 | Train Accuracy: 0.39468388162229373 | Test Accuracy: 0.1560867617909725
Epoch: 168 | Train Loss: 0.3154246483160102 | Test Loss: 2.2192909049463796 | Train Accuracy: 0.386906314317299 | Test Accuracy: 0.15662468535887017
Epoch: 169 | Train Loss: 0.2807679866319117 | Test Loss: 2.337960802591764 | Train Accuracy: 0.3880869189034338 | Test Accuracy: 0.14856941310259011
Epoch: 170 | Train Loss: 0.29565654128142027 | Test Loss: 2.27049774651999 | Train Accuracy: 0.3917461381010387 | Test Accuracy: 0.15010828827763653
Epoch: 171 | Train Loss: 0.3514760824973169 | Test Loss: 2.6274514565101037 | Train Accuracy: 0.37455239681446034 | Test Accuracy: 0.12767929305414577
Epoch: 172 | Train Loss: 0.35171255404534546 | Test Loss: 2.2065368497764672 | Train Accuracy: 0.3677202304420264 | Test Accuracy: 0.14960538571352486
Epoch: 173 | Train Loss: 0.33332598743879277 | Test Loss: 2.4905679317621083 | Train Accuracy: 0.3816212026969246 | Test Accuracy: 0.13437077632317176
Epoch: 174 | Train Loss: 0.326870179856601 | Test Loss: 2.328997369650956 | Train Accuracy: 0.3740907107358393 | Test Accuracy: 0.14451321263562192
Epoch: 175 | Train Loss: 0.30957230682606285 | Test Loss: 2.661695735795157 | Train Accuracy: 0.38747323660746863 | Test Accuracy: 0.12795232359197115
